Year,Quarter,Date,GDP,real_GDP,Gross Domestic Product: Implicit Price Deflator,Gross National Product,"Government Consumption Expenditures and Gross Investment, Billions of Dollars, Quarterly, Seasonally Adjusted Annual Rate",Government total expenditures,Real Personal Consumption Expenditures,"Shares of gross domestic product: Personal consumption expenditures, Percent, Quarterly, Not Seasonally Adjusted",Shares of gross domestic product Gross private domestic investment,Shares of gross domestic product Government consumption expenditures and gross investment,"Shares of gross domestic product: Net exports of goods and services, Percent, Quarterly, Not Seasonally Adjusted",Annualized EBITDA Per Share Growth minus 10-Year
2007,Q3,2007Q3,14535.003,15666.738,2.1,14666.605,2809.03,4849.334,10642.5,67.1,18.5,19.3,-4.9,-0.0727
2007,Q4,2007Q4,14681.501,15761.967,1.6,14859.307,2864.876,4931.562,10672.8,67.3,18,19.5,-4.8,-0.0129
2008,Q1,2008Q1,14651.039,15671.383,1.5,14812.719,2909.263,4999.928,10644.4,67.8,17.5,19.9,-5.2,-0.0255
2008,Q2,2008Q2,14805.611,15752.308,2.2,14971.515,2971.12,5365.05,10661.7,67.9,17.2,20.1,-5.1,-0.0035
2008,Q3,2008Q3,14835.187,15667.032,3,15020.055,3027.545,5258.708,10581.8,68,16.8,20.4,-5.2,0.4032
2008,Q4,2008Q4,14559.543,15328.027,1.3,14665.524,3020.03,5419.182,10483.4,67.6,15.9,20.7,-4.2,-0.7163
2009,Q1,2009Q1,14394.547,15155.94,0,14511.592,3019.656,5486.173,10459.7,67.8,14,21,-2.8,-0.3899
2009,Q2,2009Q2,14352.85,15134.117,-0.6,14468.341,3067.595,5682.125,10417.3,68,13,21.4,-2.4,0.3538
2009,Q3,2009Q3,14420.312,15189.222,0.4,14591.831,3088.993,5655.268,10489.2,68.6,12.8,21.4,-2.8,0.2523
2009,Q4,2009Q4,14628.021,15356.058,1.4,14791.715,3117.803,5713.379,10473.6,68.1,13.7,21.3,-3,0.2280
2010,Q1,2010Q1,14721.35,15415.145,1,14915.441,3131.884,5820.392,10525.4,68.2,13.8,21.3,-3.3,0.1310
2010,Q2,2010Q2,14926.098,15557.277,1.9,15121.332,3164.663,5862.982,10609.1,67.9,14.4,21.2,-3.5,0.1328
2010,Q3,2010Q3,15079.917,15671.967,1.2,15269.06,3157.912,5811.204,10683.3,67.8,14.8,20.9,-3.5,0.0507
2010,Q4,2010Q4,15240.843,15750.625,2.3,15445.256,3164.129,5839.201,10754,67.9,14.7,20.8,-3.4,-0.0863
2011,Q1,2011Q1,15285.828,15712.754,2.2,15502.925,3155.982,5859.742,10799.7,68.6,14.4,20.6,-3.7,0.1942
2011,Q2,2011Q2,15496.189,15825.096,2.7,15716.572,3168.577,5918.354,10823.6,68.5,14.8,20.4,-3.8,0.2999
2011,Q3,2011Q3,15591.85,15820.7,2.6,15837.248,3137.494,5837.788,10866,68.7,14.9,20.1,-3.7,-0.0513
2011,Q4,2011Q4,15796.46,16004.107,0.6,16059.096,3131.435,5872.598,10885.9,68.1,15.9,19.8,-3.8,-0.2958
2012,Q1,2012Q1,16019.758,16129.418,2.5,16268.022,3144.668,5834.953,10973.3,68.2,16,19.6,-3.8,0.3835
2012,Q2,2012Q2,16152.257,16198.807,1.6,16380.378,3131.04,5831.752,10989.6,67.9,16.3,19.4,-3.6,0.0502
2012,Q3,2012Q3,16257.151,16220.667,2.1,16485.807,3139.625,5801.447,11007.5,67.8,16.3,19.3,-3.3,-0.0716
2012,Q4,2012Q4,16358.863,16239.138,2.1,16583.025,3132.709,5901.607,11056.8,68,16.1,19.1,-3.3,-0.1044
2013,Q1,2013Q1,16569.591,16382.964,1.6,16783.69,3125.038,5832.095,11114.2,67.7,16.5,18.9,-3.1,0.1400
2013,Q2,2013Q2,16637.926,16403.18,1.2,16866.179,3131.988,5848.904,11122.2,67.6,16.7,18.8,-3.1,0.1096
2013,Q3,2013Q3,16848.748,16531.685,1.9,17090.464,3134.089,5867.256,11167.4,67.3,17.1,18.6,-2.9,0.0537
2013,Q4,2013Q4,17083.137,16663.649,2.4,17321.999,3138.519,5868.235,11263.7,67.2,17,18.4,-2.6,0.1745
2014,Q1,2014Q1,17104.555,16616.54,1.6,17347.936,3137.427,5915.739,11308,67.7,16.9,18.3,-3,-0.1782
2014,Q2,2014Q2,17432.909,16841.475,2.3,17668.435,3153.25,5982.041,11431.8,67.4,17.4,18.1,-2.9,0.1354
2014,Q3,2014Q3,17721.657,17047.098,1.7,17980.646,3190.944,6042.568,11554.8,67.2,17.5,18,-2.8,0.1131
2014,Q4,2014Q4,17849.912,17143.038,0.6,18076.267,3190.319,6066.558,11695,67.5,17.6,17.9,-2.9,-0.1811
2015,Q1,2015Q1,18003.399,17305.752,-0.4,18226.27,3188.054,6111.803,11798.3,67.2,18,17.7,-2.9,-0.1982
2015,Q2,2015Q2,18223.577,17422.845,2.2,18435.732,3230.559,6059.338,11892.3,67.3,17.8,17.7,-2.8,0.1943
2015,Q3,2015Q3,18347.425,17486.021,1.3,18560.868,3249.111,6225.254,11991.2,67.5,17.7,17.7,-3,0.1193
2015,Q4,2015Q4,18378.803,17514.062,0,18611.869,3253.199,6245.612,12055.4,67.7,17.4,17.7,-2.9,-0.2207
2016,Q1,2016Q1,18470.156,17613.264,-0.3,18684.316,3266.365,6314.571,12148.1,68,17.1,17.7,-2.8,-0.1939
2016,Q2,2016Q2,18656.207,17668.203,2.8,18874.494,3283.135,6315.906,12225.8,68.1,16.9,17.6,-2.6,0.1625
2016,Q3,2016Q3,18821.359,17764.388,1.4,19043.655,3310.907,6406.296,12304.5,68.2,16.8,17.6,-2.6,0.2510
2016,Q4,2016Q4,19032.58,17876.179,2,19306.048,3336.728,6457.129,12380,68.2,17.1,17.5,-2.9,0.0267
2017,Q1,2017Q1,19237.435,17977.299,2,19514.131,3361.607,6509.128,12477.2,68.4,17,17.5,-2.8,-0.0659
2017,Q2,2017Q2,19379.232,18054.052,1.2,19646.842,3384.217,6543.678,12533.1,68.3,17.1,17.5,-2.9,0.1932
2017,Q3,2017Q3,19617.288,18185.636,2,19918.646,3411.104,6648.844,12604.5,68.2,17.2,17.4,-2.8,0.1663
2017,Q4,2017Q4,19937.963,18359.432,2.7,20261.505,3471.131,6699.849,12733.7,68.2,17.3,17.4,-2.9,-0.0435
2018,Q1,2018Q1,20242.215,18530.483,2.4,20556.782,3521.462,6799.864,12798.1,68,17.6,17.4,-2.9,-0.0075
2018,Q2,2018Q2,20552.653,18654.383,3.5,20844.207,3579.974,6913.969,12898.1,67.8,17.4,17.4,-2.7,0.3323
2018,Q3,2018Q3,20742.723,18752.355,1.6,21002.69,3631.175,6993.508,12983,67.9,17.7,17.5,-3.1,0.1917
2018,Q4,2018Q4,20909.853,18813.923,1.9,21182.604,3648.034,7065.446,13033.4,67.9,17.8,17.4,-3.1,-0.3344
2019,Q1,2019Q1,21115.309,18950.347,1,21361.815,3681.467,7182.224,13093.2,67.6,17.9,17.4,-2.9,0.0273
2019,Q2,2019Q2,21329.877,19020.599,2.6,21601.036,3737.643,7262.386,13212.8,68,17.5,17.5,-3,0.1733
2019,Q3,2019Q3,21540.325,19141.744,1.4,21820.08,3767.055,7337.598,13301.3,68,17.5,17.5,-2.9,0.0885
2019,Q4,2019Q4,21747.394,19253.959,1.5,22028.479,3805.331,7391.316,13353.7,67.9,17.2,17.5,-2.5,-0.0016
2020,Q1,2020Q1,21561.139,19010.848,1.7,21804.322,3834.115,7489.684,13118.4,67.5,17,17.8,-2.3,-0.6985
2020,Q2,2020Q2,19520.114,17302.511,-2.1,19671.986,3839.326,10913.344,11860.2,67.1,16,19.7,-2.8,0.4731
2020,Q3,2020Q3,21170.252,18596.521,3.7,21381.6,3816.639,9680.859,12924.7,68,17.4,18,-3.5,0.8947
2020,Q4,2020Q4,21494.731,18794.426,1.9,21704.628,3835.162,8506.85,12999.1,67.6,18.3,17.8,-3.7,-0.0212
2021,Q1,2021Q1,22048.894,19088.064,4.3,22250.537,3946.541,10847.168,13352.2,68.3,17.7,17.9,-3.9,0.4347
